#timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,av_x,av_y,av_z;
2559205346580,0.706014513969,0.00270903855562,-0.00296448962763,0.708186030388,-0.486310660839,-9.79767036438,-0.041322324425,-0.0075027346611,-0.309243828058,-0.0128939757124;
2559209511770,0.705740213394,0.00269512459636,-0.00296056130901,0.708459496498,-0.421973466873,-9.75407505035,-0.110955365002,-0.00808686111122,-0.309968024492,-0.00513941049576;
2559209724150,0.705468177795,0.0026752112899,-0.00295843556523,0.708730459213,-0.366458445787,-9.69844913483,-0.104083701968,-0.0104695558548,-0.307285815477,-0.00955909583718;
2559216213740,0.705189526081,0.00265640742145,-0.00295944255777,0.70900785923,-0.373376876116,-9.65493488312,-0.0567756816745,-0.00807046983391,-0.314725935459,-0.010679663159;
2559217318120,0.704912662506,0.00264169229195,-0.00295654824004,0.70928299427,-0.408451497555,-9.67469978333,-0.135980516672,-0.00795274972916,-0.312405794859,-0.00616908119991;
2559218310000,0.704636454582,0.00263246777467,-0.00296648149379,0.709557414055,-0.455946296453,-9.76225090027,-0.240853890777,0.00239759706892,-0.311633974314,-0.0103548169136;
2559220297490,0.704364597797,0.00263379770331,-0.00298525369726,0.709827125072,-0.391956984997,-9.79596710205,-0.211815044284,0.0133708119392,-0.306488603354,-0.00944286491722;
2559224737400,0.704094588757,0.00264258263633,-0.00300506013446,0.710094809532,-0.352208703756,-9.84984779358,-0.101029329002,0.0181868690997,-0.304272770882,-0.00583827542141;
2559224998760,0.703824996948,0.00265507725999,-0.00302933994681,0.710362076759,-0.333898127079,-9.82962799072,-0.0212096385658,0.0228136815131,-0.303804904222,-0.00629127165303;
2559228741030,0.703554868698,0.00267459335737,-0.00306001421995,0.710629403591,-0.367838084698,-9.82782268524,-0.0199123248458,0.0304058212787,-0.30412825942,-0.00597089529037;
2559238060960,0.703283965588,0.00268244696781,-0.00308488006704,0.710897326469,-0.400004118681,-9.79173183441,-0.0814593061805,0.0205069743097,-0.304949253798,-0.00922977831215;
2559238372140,0.703012466431,0.00269226846285,-0.00311320344917,0.71116566658,-0.38883048296,-9.77498531342,0.00601108372211,0.0235721468925,-0.305557280779,-0.0100865960121;
2559238502240,0.702743887901,0.0026989064645,-0.00314859370701,0.711430907249,-0.355626881123,-9.7496843338,0.147523358464,0.0257343091071,-0.302021235228,-0.0159114617854;
2559238632750,0.70246976614,0.00270625180565,-0.00317777856253,0.711701452732,-0.360951572657,-9.77874946594,0.258151352406,0.0226512551308,-0.308299064636,-0.0119566926733;
2559240405800,0.702199876308,0.00269956653938,-0.00319646345451,0.71196770668,-0.275016635656,-9.81203651428,0.210226088762,0.00876039359719,-0.303450226784,-0.0138834118843;
2559244609810,0.701927363873,0.00269571854733,-0.00320752826519,0.712236344814,-0.171666622162,-9.80138778687,0.0973351597786,0.00609755469486,-0.306212902069,-0.00793784763664;
2559244836000,0.701652169228,0.00269303587265,-0.0032032195013,0.712507426739,-0.0912476703525,-9.82403564453,0.0410027615726,-0.00187009584624,-0.309097766876,0.00148862600327;
2559248636150,0.701380312443,0.00268007162958,-0.00320567376912,0.712775051594,-0.12113712728,-9.84891891479,0.116194911301,-0.0039353966713,-0.305289030075,-0.0081539163366;
2559250693040,0.701111257076,0.00266802706756,-0.00320432661101,0.713039755821,-0.205758988857,-9.79104328156,0.148786976933,-0.00554472254589,-0.302065908909,-0.00548362731934;
2559253819540,0.700842738152,0.00265508331358,-0.00319803063758,0.713303804398,-0.320047736168,-9.78111839294,0.0545634366572,-0.00883340928704,-0.301383435726,-0.00316798710264;
2559255844430,0.700579464436,0.00264895102009,-0.0032011133153,0.713562369347,-0.295762896538,-9.77248287201,-0.0253264736384,0.000309944181936,-0.295406520367,-0.00472515821457;
2559258948950,0.700318038464,0.00264716078527,-0.00320832198486,0.713818967342,-0.278146654367,-9.74655437469,-0.0267204195261,0.00510066794232,-0.293150573969,-0.00465661194175;
2559261078880,0.70005351305,0.00264848093502,-0.0032111518085,0.714078366756,-0.251371204853,-9.70905399323,0.050665654242,0.00442564534023,-0.296510756016,-0.000399351119995;
2559263382590,0.699790775776,0.00264449277893,-0.00321201677434,0.714335799217,-0.206027314067,-9.70435333252,0.0256158709526,0.000292062788503,-0.294364988804,-0.00225901626982;
2559265357140,0.699527442455,0.00263508805074,-0.00321261002682,0.714593708515,-0.145191788673,-9.68543434143,-0.024205641821,-0.00295490026474,-0.294993847609,-0.00513345049694;
2559269454090,0.699264109135,0.00262973993085,-0.00321119092405,0.71485131979,-0.143252506852,-9.71345329285,-0.0870255455375,-0.00176131725311,-0.294803082943,-0.00171363365371;
