#timestamp,latitude,longitude,elevation
2.55939960326e+12,51.6024007806,-1.63876474483,143.623809814;
2.55940175951e+12,51.602400827,-1.63876475495,143.62387085;
2.55940373088e+12,51.6024008735,-1.63876476512,143.623916626;
2.55940579835e+12,51.6024010179,-1.63876488888,143.60899353;
2.55940894983e+12,51.6024010644,-1.63876489921,143.609024048;
2.55941099643e+12,51.6024011109,-1.63876490961,143.609054565;
2.55941304675e+12,51.6024011574,-1.63876492004,143.609100342;
2.55941713666e+12,51.6024012039,-1.63876493043,143.610794067;
2.55941985861e+12,51.6024012503,-1.63876494093,143.610824585;
2.5594215207e+12,51.6024012968,-1.63876495145,143.610855103;
2.55942368113e+12,51.6024013432,-1.63876496201,143.610900879;
2.55942573423e+12,51.6024013896,-1.63876497261,143.613677979;
2.5594289096e+12,51.602401436,-1.63876498325,143.613723755;
2.55943290407e+12,51.6024014825,-1.63876499393,143.613754272;
2.5594346071e+12,51.6024015289,-1.63876500464,143.61378479;
2.55943474946e+12,51.6024015753,-1.63876501538,143.613830566;
2.55943871082e+12,51.6024016217,-1.63876502617,143.613861084;
2.55944070389e+12,51.6024016681,-1.63876503699,143.61390686;
2.55944395442e+12,51.6024017145,-1.63876504787,143.613952637;
2.55944602827e+12,51.6024017608,-1.63876505882,143.614898682;
2.55944813844e+12,51.6024018072,-1.63876506982,143.614929199;
2.55945026655e+12,51.6024018536,-1.63876508087,143.614974976;
2.55945455985e+12,51.6024018999,-1.63876509197,143.615020752;
2.55945657687e+12,51.6024019463,-1.63876510312,143.615066528;
2.55945857051e+12,51.6024019926,-1.63876511432,143.615097046;
2.55946064687e+12,51.602402039,-1.63876512557,143.615142822;
2.55946481293e+12,51.6024020853,-1.63876513685,143.615188599;
2.5594656975e+12,51.6024021315,-1.63876514817,143.615020752;
2.55946904571e+12,51.6024021778,-1.63876515954,143.61505127;
2.5594709882e+12,51.602402224,-1.63876517095,143.615097046;
2.55947409391e+12,51.6024022702,-1.63876518241,143.615127563;
2.55947615072e+12,51.6024023164,-1.63876519391,143.61517334;
2.55947822119e+12,51.6024023625,-1.63876520546,143.615203857;
2.55948035751e+12,51.6024024087,-1.63876521704,143.615249634;
2.55948454471e+12,51.6024024547,-1.63876522867,143.61529541;
2.55948654313e+12,51.6024025009,-1.63876524041,143.613998413;
2.55948862668e+12,51.6024025469,-1.63876525216,143.614044189;
2.55949068659e+12,51.602402593,-1.63876526396,143.614074707;
2.55949387679e+12,51.602402639,-1.63876527582,143.614120483;
2.55949588831e+12,51.6024026851,-1.63876528771,143.614151001;
2.55949950752e+12,51.6024027311,-1.63876529966,143.614181519;
2.55950116881e+12,51.6024027772,-1.63876531167,143.614227295;
2.55950317801e+12,51.6024028232,-1.63876532373,143.614257812;
2.5595052311e+12,51.6024028693,-1.63876533594,143.609573364;
2.55950947676e+12,51.6024029153,-1.63876534813,143.609603882;
